name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
Shant,1121173.246035381,936187.0904981256,1302844.5189589264,46260.2697301884,285.62252809800844
1273/2601/raid-mythic/212400/639/7460/main_hand//,1126774.7933625048,932280.2774944662,1319351.340513192,46067.378411606835,286.93646046598235
1273/2609/raid-mythic/225574/639/7403/back//,1128898.4590048643,943341.9361730976,1318773.2118925124,46490.77123610923,287.80924725796933
1273/2599/raid-mythic/212399/639/7460/main_hand//,1127208.073489994,947222.8473750966,1318566.7662049318,46331.04755938022,287.1066759646898
1273/2602/raid-mythic/225578/639/7340/finger1//,1144822.8200012753,959724.167267816,1365841.3279298851,47148.24700545027,291.7956061975417
1273/2612/raid-mythic/225576/639/7340/finger2//,1131798.5835849266,943323.4555007009,1334330.924325726,46263.76067430568,288.4675778581508
1273/2607/raid-mythic/212022/639/7424/feet//,1126747.8090873198,949152.2573513949,1324738.4349832942,46076.40126233177,287.0594883842469
1273/2601/raid-mythic/212456/639/0/trinket2//,1123545.52342192,965448.9601190716,1311648.8835368818,44536.00910683901,286.14054779503664
1273/2611/raid-mythic/212447/639/7340/finger1//,1125951.273994582,940381.9523731561,1329823.8818845279,46109.91304453123,286.8455049167639
1273/2602/raid-mythic/212436/639/0/hands//,1116791.3694248798,958815.6482533617,1287652.7844160188,45848.9322296956,1107.449208531385
1273/2599/raid-mythic/212016/639/7385/wrist//,1125362.9626842705,935517.1006964731,1336415.6855280488,46546.264443190776,286.760445764799
1273/2599/raid-mythic/212415/639/7385/wrist//,1126020.714138998,950246.664516932,1327415.9976131634,46205.26292325895,286.7680329042853
1273/2607/raid-mythic/212431/639/7424/feet//,1122993.879453757,944273.4603852956,1309023.2195909398,46117.70816848396,286.19707470033325
1273/2609/raid-mythic/212022/639/7424/feet//,1127144.8728887287,944814.245524821,1318531.5964979648,46409.03740279825,287.2867449862878
1273/2612/raid-mythic/225576/639/7340/finger1//,1118676.4447060197,937517.5452178641,1309016.8944394304,46835.87872857276,285.09744291960857
1273/2608/raid-mythic/212429/639/0/shoulder//,1123977.2925190013,960534.2238177798,1322948.0628305492,46379.226306419645,286.4826162197083
1273/-67/raid-mythic/225728/639/7340/finger2//,1120077.1819628412,953270.6931346715,1312318.1990056012,46705.58967177155,285.31044303737474
1273/2608/raid-mythic/225575/639/0/neck//,1090183.2369038856,987340.1752358712,1191696.6074578587,43824.88524367625,5394.470466642268
1273/2601/raid-mythic/212016/639/7385/wrist//,1124653.408818205,949381.3467073705,1322849.68691794,46518.58333191285,286.5355369312902
1273/2602/raid-mythic/212454/639/0/trinket2//swap_doubleonuse,1133595.4137739504,951472.5208336095,1326529.2440129388,47747.678251438934,288.9503439472399
1273/-67/raid-mythic/212017/639/0/waist//,1123790.0526311097,904055.9867650488,1302412.6160080694,46147.79170659227,286.4610025063796
1273/2611/raid-mythic/212414/639/0/waist//,1123077.2686132598,944019.7739480105,1305169.1090131174,46095.128222559964,286.04042470600535
1273/2599/raid-mythic/212449/639/0/trinket1//,1092940.9499066432,1012475.5659075066,1196546.3769455918,37843.08169846077,4623.268263831216
1273/2612/raid-mythic/220305/639/0/trinket2//,1123967.3009109094,948157.9246395993,1298262.6379060573,45347.97302602316,286.41078952332805
1273/2602/raid-mythic/212435/639/7601/legs//,1122434.269157992,917066.4401632982,1318573.7060053442,46528.83629410766,285.90529732165135
1273/-67/raid-mythic/225724/639/0/shoulder//,1121475.9898567544,944814.8986604419,1300925.039722899,46433.04959196657,285.72696593967544
1273/2608/raid-mythic/220202/639/0/trinket2//swap_doubleonuse,1043603.7513132403,946598.1895768379,1138475.6744887005,37792.696474155644,4617.112728974091
1273/2609/raid-mythic/212015/639/7403/back//,1126473.8616696256,951125.5733657421,1325076.2711227417,46418.25419735619,287.01952430199566
1273/2601/raid-mythic/221023/639/0/trinket1//swap_doubleonuse,1116700.2708295167,931147.3310743914,1291427.9362157944,44287.38480779367,284.4785749871804
1273/2599/raid-mythic/225577/639/0/neck//,1125007.2537313374,937492.4457343931,1352614.0051355,45993.036958156,286.44563451633655
1273/2602/raid-mythic/225578/639/7340/finger2//,1151241.8122360162,977601.3524355842,1359677.5957185738,46313.405406144055,293.2344300396316
1273/2611/raid-mythic/212447/639/7340/finger2//,1133864.8802288093,937235.762579045,1333673.362214765,45805.17215000316,288.86660395061244
1273/2602/raid-mythic/212454/639/0/trinket1//,1132986.6287132371,932362.6251996876,1332222.0501636877,47613.41268132077,288.826171550894
1273/2609/raid-mythic/225586/639/7424/feet//,1127211.0015738723,962015.537507681,1345402.620082386,46039.37578889351,287.1242954765302
1273/2607/raid-mythic/212428/639/0/head//,1115938.6428850784,988402.0923654187,1278965.4626552993,47579.49050180393,1124.273552020048
1273/2609/raid-mythic/212448/639/0/neck//,1131595.2335443387,946283.4460680623,1322628.849501485,46567.58752087557,288.50047668018163
1273/2611/raid-mythic/212421/639/7364/chest//,1116591.7829783284,971560.8798037627,1291906.673344857,46011.090997257736,1114.2954047849641
1273/2612/raid-mythic/225580/639/0/waist//,1121502.7724244902,920360.0659862029,1295141.166003943,46347.69475306806,285.79212904436326
1273/2607/raid-mythic/212446/639/7403/back//,1127040.258695052,947329.9843610357,1307173.3884722807,46620.467531357055,287.27211553109106
1273/2612/raid-mythic/220305/639/0/trinket1//,1108496.6932347442,946002.9917086196,1240758.4914119774,42304.025023331014,1107.5262907480621
1273/2612/raid-mythic/212017/639/0/waist//,1123482.6081560212,945810.0838796744,1301616.9168860645,46159.63311490389,286.5179477093291
1273/2607/raid-mythic/212015/639/7403/back//,1126576.711941175,938208.4522927633,1329835.5610540786,46280.295042401995,287.1728788188661
1273/-67/raid-mythic/225725/639/0/waist//,1117960.7390535483,944981.4548179976,1301894.7104144176,46114.86042081858,284.838771004953
1273/2608/raid-mythic/220202/639/0/trinket1//swap_doubleonuse,994602.5114544488,916777.9452356017,1087555.3875276675,37172.84773610832,4575.661251785286
1273/2599/raid-mythic/212449/639/0/trinket1//swap_doubleonuse,1117267.3596574077,973356.6156321737,1292991.0004707293,44522.501512250405,1124.004592106872
1273/2599/raid-mythic/212449/639/0/trinket2//,1114197.8432026813,969119.6583038745,1245678.0366086299,42615.813690191695,1120.6929467199705
1273/2608/raid-mythic/212450/639/0/trinket1//swap_doubleonuse,1061192.732853375,971393.9247873368,1173815.8652092845,40252.7474560639,4917.655790522005
1273/2599/raid-mythic/212449/639/0/trinket2//swap_doubleonuse,1097130.1815060047,1003358.8002929619,1205812.0668951906,42169.65990411925,5190.726311689424
1273/2601/raid-mythic/221023/639/0/trinket2//swap_doubleonuse,1063812.0341064737,963050.4656263501,1163052.4246950727,38484.12081080273,4701.583655996691
1273/2608/raid-mythic/212450/639/0/trinket1//,1063732.2033881987,967305.360416498,1151209.2815051696,36750.66206132654,4489.80796375861
1273/2608/raid-mythic/212450/639/0/trinket2//,1071057.8579442203,1000735.2711265798,1181428.769109161,40557.22172531307,4992.248892148172
1273/2607/raid-mythic/219915/639/0/trinket1//swap_doubleonuse,1105415.7474964147,955217.0562353703,1252632.7052941683,43241.30829730309,1115.0001023466264
1273/2611/raid-mythic/212017/639/0/waist//,1123441.4481307107,910383.419048099,1319264.52629248,46401.318698882256,286.1717573986246
1273/2608/raid-mythic/212450/639/0/trinket2//swap_doubleonuse,1054743.4780300197,954184.236307948,1120705.516907398,37522.08613747909,4584.052414505243
1273/2601/raid-mythic/225581/639/7385/wrist//,1127150.3417139687,942821.8421771115,1317370.1775808195,46042.37717576294,287.12626292421163
1273/2612/raid-mythic/212452/639/0/trinket2//,1066637.524652382,954352.2030836232,1150995.225142928,43898.77794416789,5363.089309359817
1273/-67/raid-mythic/225728/639/7340/finger1//,1109509.5824420468,956060.781392059,1282843.3813962683,46115.02443628359,1112.9029549096417
1273/2601/raid-mythic/212456/639/0/trinket1//,1105375.86233852,963288.2182706592,1254272.4542220165,41420.65501680071,1109.7915256717579
1273/2608/raid-mythic/220202/639/0/trinket2//,990087.3849247199,910669.5423537383,1052912.5508824538,33479.41172871909,4090.161128273579
1273/2607/raid-mythic/219915/639/0/trinket1//,1083418.1190468527,975982.6437415079,1158836.9377979743,36354.68853867445,4474.952816314697
1273/2607/raid-mythic/219915/639/0/trinket2//,1102779.4783176398,955440.7265107922,1259943.4655883838,43416.53671097635,1109.6028970498626
1273/2601/raid-mythic/221023/639/0/trinket2//,1117156.0371352015,948543.4862830393,1282442.0281170856,44159.96705732459,284.67796668537574
1273/2612/raid-mythic/212452/639/0/trinket1//,1049256.036477026,986602.7029753119,1153741.26599729,31945.52035414948,3902.7664713394806
1273/2607/raid-mythic/219915/639/0/trinket2//swap_doubleonuse,1083196.3819406636,1003139.0787489245,1189700.9701939523,39924.11739039724,4877.507238000733
1273/2601/raid-mythic/221023/639/0/trinket1//,1060796.1863963385,975051.5152039942,1161204.7636966803,38137.28041071031,4694.374707651231
1273/2608/raid-mythic/220202/639/0/trinket1//,1045243.2933604304,953264.2410949853,1122113.0424582676,37085.59356576279,4530.7263595530085
